p_name_list|price_list|specifications_list|product_url_list
POCO C31 (Royal Blue, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Helio G35 Processor
1 Year Warranty for Handset, 6 Months for Accessories"|https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG73E7GKQK4KZP.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C31 (Dark Green, 32 GB)|₹10,999|"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|https://www.flipkart.com/realme-c31-dark-green-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVAXYT3EGYR&lid=LSTMOBGCGVAXYT3EGYRW8CSTQ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBGCGVAXYT3EGYR.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C31 (Dark Green, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|https://www.flipkart.com/realme-c31-dark-green-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAZXRCZJNE&lid=LSTMOBGCGVAZXRCZJNEAEVV0M&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBGCGVAZXRCZJNE.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C11 2021 (Cool Grey, 32 GB)|₹7,999|"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZXOJ4Y8&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG4BEGX8QYNKGZ.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C11 2021 (Cool Blue, 64 GB)|₹9,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5B9SEYIT&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG5BCDBHPYMT5B.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C11 2021 (Cool Blue, 32 GB)|₹7,999|"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGZKVJB6&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG4BEG3HG78BDG.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C11 2021 (Cool Grey, 64 GB)|₹9,999|"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Octa-core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"|https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THWJHNPW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG5BCDJ68N57TH.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C31 (Light Silver, 32 GB)|₹10,999|"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|https://www.flipkart.com/realme-c31-light-silver-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVA3DANQNQH&lid=LSTMOBGCGVA3DANQNQHPKNMV9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBGCGVA3DANQNQH.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
realme C31 (Light Silver, 64 GB)|₹11,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"|https://www.flipkart.com/realme-c31-light-silver-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAGUHQ9HNJ&lid=LSTMOBGCGVAGUHQ9HNJSTKURO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBGCGVAGUHQ9HNJ.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
POCO M3 Pro 5G (Yellow, 64 GB)|₹15,999|"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Dimensity 700 Processor
Multiple Hands-free Voice Assistant
One Year Warranty for Handset, 6 Months for Accessories"|https://www.flipkart.com/poco-m3-pro-5g-yellow-64-gb/p/itm51fb555f11b66?pid=MOBG3P55T4HQZBGC&lid=LSTMOBG3P55T4HQZBGC0XVZM2&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&iid=f6013d8e-05e5-4985-88e0-c97f34bd8c0b.MOBG3P55T4HQZBGC.SEARCH&ssid=01d364ykdr45d5341653074972816&qH=d2d7ba3c0ae30d4a
